AMC_name,Mutual Fund Name,category,risk_type,fund_rating,return_1yr,return_3yr,return_5yr,Sector
IDBI,IDBI Gilt Fund Direct Growth,Debt,Moderate Risk,1.0,1.82,4.72,4.81,Banking
IDBI,IDBI Credit Risk Fund Direct Growth,Debt,Moderately High Risk,2.0,14.15,4.28,3.69,Banking
IDBI,IDBI Liquid Fund Direct Growth,Debt,Moderate Risk,4.0,4.03,4.25,5.46,Banking
Axis,Axis Small Cap Fund Direct Growth,Equity,Very High Risk,5.0,11.35,32.0,21.46,Banking
Axis,Axis Midcap Direct Plan Growth,Equity,Very High Risk,5.0,2.45,26.9,18.88,Banking
Axis,Axis Growth Opportunities Fund Direct Growth,Equity,Very High Risk,5.0,2.39,26.08,,Banking
Axis,Axis Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,-3.68,18.4,,Banking
Axis,Axis Long Term Equity Direct Plan Growth,Equity,Very High Risk,3.0,-7.34,17.18,13.21,Banking
Axis,Axis Focused 25 Direct Plan Growth,Equity,Very High Risk,3.0,-8.87,16.94,12.64,Banking
Axis,Axis Bluechip Fund Direct Plan Growth,Equity,Very High Risk,5.0,-4.07,16.87,14.55,Banking
Axis,Axis Triple Advantage Direct Plan Growth,Hybrid,Very High Risk,3.0,-0.81,16.75,12.11,Banking
Axis,Axis Equity Hybrid Fund Direct Growth,Hybrid,Very High Risk,3.0,-0.12,16.27,,Banking
Axis,Axis Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,2.0,1.58,11.13,8.86,Banking
Axis,Axis Equity Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,1.15,11.1,9.27,Banking
Axis,Axis Regular Saver Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.88,10.73,7.51,Banking
Axis,Axis Gold Direct Plan Growth,Other,High Risk,4.0,6.09,9.37,10.64,Banking
Axis,Axis Strategic Bond Fund Direct Growth,Debt,Moderate Risk,4.0,4.35,7.6,7.33,Banking
Axis,Axis Credit Risk Fund Direct Growth,Debt,Moderately High Risk,4.0,4.54,7.45,6.73,Banking
Axis,Axis Corporate Debt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,3.74,7.3,7.37,Banking
Axis,Axis Dynamic Bond Direct Fund Growth,Debt,Moderate Risk,2.0,2.58,6.82,7.18,Banking
Axis,Axis Short Term Direct Fund Growth,Debt,Moderate Risk,4.0,3.66,6.76,7.22,Banking
Axis,Axis Gilt Fund Direct Plan Growth,Debt,Moderate Risk,4.0,2.67,6.61,6.86,Banking
Axis,Axis Banking & PSU Debt Direct Plan Growth,Debt,Low to Moderate Risk,5.0,3.45,6.21,7.31,Banking
Axis,Axis Treasury Advantage Direct Fund Growth,Debt,Low to Moderate Risk,4.0,3.93,5.63,6.68,Banking
Axis,Axis Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,4.26,5.25,,Banking
Axis,Axis Money Market Fund Direct Growth,Debt,Moderate Risk,4.0,4.15,5.17,,Banking
Axis,Axis Arbitrage Fund Direct Growth,Hybrid,Low Risk,5.0,4.61,4.78,5.63,Banking
Axis,Axis Liquid Direct Fund Growth,Debt,Low to Moderate Risk,3.0,4.02,4.13,5.38,Banking
Axis,Axis Overnight Fund Direct Growth,Debt,Low Risk,4.0,3.89,3.68,,Banking
Axis,Axis Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis Global Innovation FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis Global Equity Alpha FoF Direct Growth,Other,Very High Risk,3.0,17.19,,,Banking
Axis,Axis Multicap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
Axis,Axis Special Situations Fund Direct Growth,Equity,Very High Risk,3.0,-4.04,,,Banking
Axis,Axis Equity ETFs FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis ESG Equity Fund Direct Growth,Equity,Very High Risk,3.0,-8.75,,,Banking
Axis,Axis Fixed Term Plan Series 109 (111 Days) Direct Growth,Debt,Moderate Risk,3.0,,,,Banking
Axis,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund Direct Growth,Other,Low to Moderate Risk,3.0,,,,Banking
Axis,Axis Retirement Savings Fund Conservative Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,1.14,,,Banking
Axis,Axis Retirement Savings Fund Dynamic Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,1.47,,,Banking
Axis,Axis Nifty Smallcap 50 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis Greater China Equity FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
Axis,Axis Value Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
Axis,Axis Retirement Savings Fund Aggressive Plan Direct Growth,Solution Oriented,Moderately High Risk,3.0,-2.69,,,Banking
Axis,Axis Quant Fund Direct Growth,Equity,Very High Risk,3.0,3.11,,,Banking
Axis,Axis All Seasons Debt FoF Direct Growth,Other,Moderately High Risk,4.0,3.48,,,Banking
Axis,Axis CRISIL IBX SDL May 2027 Index Fund Direct Growth,Other,Moderate Risk,3.0,,,,Banking
L&T,L&T Emerging Businesses Fund Direct Growth,Equity,Very High Risk,3.0,15.79,31.6,14.95,Banking
L&T,L&T Infrastructure Fund Direct Growth,Equity,Very High Risk,3.0,14.32,22.86,10.44,Banking
L&T,L&T Midcap Fund Direct Growth,Equity,Very High Risk,2.0,2.76,22.4,10.29,Banking
L&T,L&T India Value Fund Direct Growth,Equity,Very High Risk,2.0,4.93,22.13,11.25,Banking
L&T,L&T Business Cycles Fund Direct Growth,Equity,Very High Risk,3.0,11.88,21.7,10.01,Banking
L&T,L&T Large and Midcap Fund Direct Growth,Equity,Very High Risk,2.0,3.52,19.25,9.82,Banking
L&T,L&T India Large Cap Fund Direct Growth,Equity,Very High Risk,2.0,1.94,17.49,11.57,Banking
L&T,L&T Flexicap Fund Direct Growth,Equity,Very High Risk,2.0,4.31,17.31,10.39,Banking
L&T,L&T Tax Advantage Fund Direct Growth,Equity,Very High Risk,2.0,-0.36,17.19,9.15,Banking
L&T,L&T Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,-1.83,16.48,,Banking
L&T,L&T Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,2.0,-0.27,14.4,8.7,Banking
L&T,L&T Equity Savings Fund Direct Growth,Hybrid,Moderate Risk,2.0,3.54,12.0,7.92,Banking
L&T,L&T Balanced Advantage Fund Direct Growth,Hybrid,Moderately High Risk,3.0,2.58,10.5,8.64,Banking
L&T,L&T Conservative Hybrid Fund Direct Growth,Hybrid,Moderate Risk,3.0,2.29,7.35,6.49,Banking
L&T,L&T Resurgent India Bond Fund Direct Growth,Debt,Moderate Risk,3.0,2.74,6.85,6.36,Banking
L&T,L&T Triple Ace Bond Direct Growth,Debt,Moderate Risk,2.0,2.59,6.68,7.35,Banking
L&T,L&T Short Term Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.38,5.87,6.62,Banking
L&T,L&T Banking and PSU Debt Fund Direct Growth,Debt,Moderate Risk,2.0,1.36,5.8,6.45,Banking
L&T,L&T Gilt Fund Direct Growth,Debt,Moderate Risk,2.0,1.91,5.67,6.33,Banking
L&T,L&T Flexi Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.46,5.53,6.44,Banking
L&T,L&T Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.8,5.46,5.74,Banking
L&T,L&T Money Market Fund Direct Growth,Debt,Low to Moderate Risk,1.0,3.73,5.31,6.1,Banking
L&T,L&T Credit Risk Fund Direct Growth,Debt,Moderate Risk,2.0,5.04,5.07,5.04,Banking
L&T,L&T Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.88,4.72,5.91,Banking
L&T,L&T Arbitrage Opportunities Fund Direct Growth,Hybrid,Low Risk,4.0,3.83,4.71,5.53,Banking
L&T,L&T Liquid Plan Direct Growth,Debt,Low to Moderate Risk,2.0,3.98,4.07,5.31,Banking
L&T,L&T Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.84,3.66,4.68,Banking
L&T,L&T Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,3.82,,,Banking
L&T,L&T Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.88,,,Banking
UTI,UTI Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,5.98,30.09,14.6,Banking
UTI,UTI Transportation and Logistics Fund Direct Growth,Equity,Very High Risk,3.0,30.77,25.06,7.81,Banking
UTI,UTI Healthcare Fund Direct Growth,Equity,Very High Risk,3.0,-12.32,24.08,14.03,Banking
UTI,UTI Flexi Cap Fund Direct Growth,Equity,Very High Risk,4.0,-5.71,22.79,15.58,Banking
UTI,UTI Long Term Equity Fund Direct Growth,Equity,Very High Risk,3.0,1.44,22.14,13.24,Banking
UTI,UTI Value Opportunities Fund Direct Growth,Equity,Very High Risk,4.0,3.19,21.81,13.92,Banking
UTI,UTI Core Equity Fund Direct Growth,Equity,Very High Risk,2.0,4.48,21.67,11.56,Banking
UTI,UTI India Consumer Fund Direct Growth,Equity,Very High Risk,2.0,7.2,20.06,11.79,Banking
UTI,UTI Nifty Next 50 Index Fund Direct Growth,Other,Very High Risk,4.0,4.13,19.62,,Banking
UTI,UTI Infrastructure Fund Direct Growth,Equity,Very High Risk,2.0,6.67,19.61,9.31,Banking
UTI,UTI Mastershare Direct Growth,Equity,Very High Risk,4.0,0.65,19.52,13.44,Banking
UTI,UTI Hybrid Equity Fund Direct Fund Growth,Hybrid,Very High Risk,3.0,6.25,18.33,10.42,Banking
UTI,UTI Nifty 50 Index Fund Direct Growth,Other,Very High Risk,3.0,2.78,18.3,13.33,Banking
UTI,UTI Dividend Yield Fund Direct Growth,Equity,Very High Risk,3.0,-4.01,18.28,12.31,Banking
UTI,UTI MNC Fund Direct Growth,Equity,Very High Risk,3.0,2.65,16.87,10.53,Banking
UTI,UTI Retirement Benefit Pension Fund Direct,Solution Oriented,High Risk,3.0,6.68,13.45,7.8,Banking
UTI,UTI Banking and Financial Services Fund Direct Plan Growth,Equity,Very High Risk,2.0,4.35,11.75,5.84,Banking
UTI,UTI Multi Asset Fund Direct Growth,Hybrid,Very High Risk,2.0,2.0,11.2,7.59,Banking
UTI,UTI Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,4.0,6.25,11.18,,Banking
UTI,UTI Focussed Equity Fund Series VI (1150 Days) Direct Growth,Equity,Very High Risk,3.0,63.05,10.5,,Banking
UTI,UTI Regular Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,6.13,9.94,7.3,Banking
UTI,UTI Dynamic Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,19.71,9.1,5.57,Banking
UTI,UTI Short term Income Direct Growth,Debt,Low to Moderate Risk,5.0,8.34,8.34,5.19,Banking
UTI,UTI Fixed Term Income Fund Series XXX II (1107 Days) Direct Growth,Debt,Low to Moderate Risk,3.0,4.18,8.17,,Banking
UTI,UTI Fixed Term Income Fund Series XXIX VIII (1127 Days) Direct Growth,Debt,Low to Moderate Risk,3.0,4.19,8.15,,Banking
UTI,UTI Fixed Term Income Fund Series XXIII XV (1176 Days) Direct Growth,Debt,Moderate Risk,3.0,7.75,7.88,,Banking
UTI,UTI Banking & PSU Debt Fund Direct Growth,Debt,Moderate Risk,3.0,10.13,7.19,5.61,Banking
UTI,UTI Treasury Advantage Fund Direct Growth,Debt,Low to Moderate Risk,5.0,8.87,7.17,4.79,Banking
UTI,UTI Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,3.0,2.92,6.76,,Banking
UTI,UTI Bond Fund Direct Growth,Debt,Moderate Risk,5.0,17.31,6.41,3.56,Banking
UTI,UTI Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,6.89,6.06,5.75,Banking
UTI,UTI Floater Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.25,5.65,,Banking
UTI,UTI Gilt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,1.93,5.19,6.11,Banking
UTI,UTI Money Market Fund Direct Growth,Debt,Moderate Risk,4.0,4.16,5.01,6.21,Banking
UTI,UTI Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.95,4.62,5.5,Banking
UTI,UTI Liquid Cash Direct Growth,Debt,Low to Moderate Risk,3.0,4.02,4.11,5.36,Banking
UTI,UTI Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.86,3.67,4.42,Banking
UTI,UTI Medium Term Fund Direct Growth,Debt,Moderate Risk,2.0,5.58,3.55,4.64,Banking
UTI,UTI Focussed Equity Fund Series I (2195 Days) Direct Growth,Equity,Moderately High Risk,3.0,14.03,2.93,8.87,Banking
UTI,UTI Credit Risk Fund Direct Growth,Debt,Moderately High Risk,1.0,20.76,-4.37,-0.98,Banking
UTI,UTI Nifty Midcap 150 Quality 50 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
UTI,UTI Gilt Fund with 10 year Constant Duration Direct Growth,Debt,Moderate Risk,3.0,,,,Banking
UTI,UTI Nifty200 Momentum 30 Index Fund Direct Growth,Other,Very High Risk,3.0,0.29,,,Banking
UTI,UTI Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,12.93,,,Banking
UTI,UTI S&P BSE Sensex Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
UTI,UTI S&P BSE Low Volatility Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
UTI,UTI Credit Risk Fund Segregated Portfolio 4 Direct Growth,Debt,Moderate Risk,3.0,,,,Banking
UTI,UTI Focused Equity Fund Direct Growth,Equity,Very High Risk,3.0,4.39,,,Banking
Baroda,Baroda BNP Paribas Midcap Direct Growth,Equity,Very High Risk,3.0,5.62,28.66,13.96,Banking
Baroda,Baroda BNP Paribas India Consumption Fund Direct Growth,Equity,Very High Risk,4.0,9.48,24.63,,Banking
Baroda,Baroda BNP Paribas Multi Cap Fund Direct Growth,Equity,Very High Risk,4.0,4.43,23.8,13.01,Banking
Baroda,Baroda Midcap Direct Fund Growth,Equity,Very High Risk,4.0,27.49,23.56,16.94,Banking
Baroda,Baroda BNP Paribas Focused Fund Direct Growth,Equity,Very High Risk,3.0,5.35,19.54,,Banking
Baroda,Baroda BNP Paribas Large Cap Fund Direct Growth,Equity,Very High Risk,5.0,2.96,18.6,12.96,Banking
Baroda,Baroda BNP Paribas Aggressive Hybrid Fund Direct Growth,Hybrid,Very High Risk,5.0,3.38,18.5,13.96,Banking
Baroda,Baroda BNP Paribas Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,4.0,5.01,18.31,,Banking
Baroda,Baroda BNP Paribas ELSS Direct Growth,Equity,Very High Risk,3.0,-0.43,17.85,11.22,Banking
Baroda,Baroda Equity Linked Saving Scheme 96 Direct Growth,Equity,Very High Risk,3.0,18.49,17.55,12.53,Banking
Baroda,Baroda Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,15.64,15.04,12.27,Banking
Baroda,Baroda Large Cap Direct Fund Growth,Equity,Very High Risk,2.0,6.97,14.64,11.35,Banking
Baroda,Baroda BNP Paribas Banking and Financial Services Direct Growth,Equity,Very High Risk,2.0,5.4,12.42,9.18,Banking
Baroda,Baroda Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,4.24,9.98,8.77,Banking
Baroda,Baroda BNP Paribas Equity Savings Fund Direct Growth,Hybrid,Moderately High Risk,3.0,4.26,9.18,,Banking
Baroda,Baroda BNP Paribas Credit Risk Fund Direct Growth,Debt,Moderately High Risk,5.0,12.81,8.94,7.46,Banking
Baroda,Baroda BNP Paribas Conservative Hybrid Fund Direct Growth,Hybrid,Moderately High Risk,4.0,3.13,8.5,7.76,Banking
Baroda,Baroda BNP Paribas Low Duration Fund Direct Growth,Debt,Moderate Risk,3.0,3.74,5.82,6.52,Banking
Baroda,Baroda BNP Paribas Short Duration Direct Fund Growth,Debt,Moderate Risk,3.0,2.87,5.69,6.74,Banking
Baroda,Baroda BNP Paribas Dynamic Bond Plan Direct Growth,Debt,Moderate Risk,2.0,3.3,5.52,5.79,Banking
Baroda,Baroda BNP Paribas Corporate Bond Fund Direct Growth,Debt,Moderate Risk,2.0,1.03,5.47,4.33,Banking
Baroda,Baroda BNP Paribas Gilt Direct Growth,Debt,Low to Moderate Risk,2.0,1.04,4.9,5.78,Banking
Baroda,Baroda BNP Paribas Ultra Short Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,4.23,4.76,,Banking
Baroda,Baroda BNP Paribas Medium Duration Fund Direct Growth,Debt,Moderate Risk,2.0,2.46,4.73,3.26,Banking
Baroda,Baroda BNP Paribas Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,3.78,4.66,5.53,Banking
Baroda,Baroda BNP Paribas Liquid Direct Fund Growth,Debt,Low to Moderate Risk,5.0,4.07,4.14,5.39,Banking
Baroda,Baroda BNP Paribas Money Market Fund Direct Growth,Debt,Low Risk,1.0,3.72,4.02,,Banking
Baroda,Baroda BNP Paribas Overnight Fund Direct Growth,Debt,Low Risk,4.0,3.85,3.68,,Banking
Baroda,Baroda Dynamic Bond Direct Growth,Debt,Moderate Risk,1.0,4.29,3.17,4.61,Banking
Baroda,Baroda Treasury Advantage Direct Fund Growth,Debt,Low to Moderate Risk,1.0,3.96,-9.24,-2.95,Banking
Baroda,Baroda BNP Paribas Flexi Cap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
Baroda,Baroda BNP Paribas Funds Aqua FoF Direct Growth,Other,Very High Risk,5.0,-18.07,,,Banking
Baroda,Baroda BNP Paribas Large & Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,3.96,,,Banking
IDFC,IDFC Sterling Value Fund Direct Plan Growth,Equity,Very High Risk,4.0,11.58,28.59,12.71,Banking
IDFC,IDFC Tax Advantage (ELSS) Direct Plan Growth,Equity,Very High Risk,4.0,9.29,26.43,14.53,Banking
IDFC,IDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,2.0,5.14,24.19,9.32,Banking
IDFC,IDFC Core Equity Fund Direct Growth,Equity,Very High Risk,3.0,6.11,21.47,11.95,Banking
IDFC,IDFC Large Cap Fund Direct Growth,Equity,Very High Risk,4.0,1.56,19.09,11.8,Banking
IDFC,IDFC Focused Equity Fund Direct Growth,Equity,Very High Risk,2.0,2.01,19.01,9.12,Banking
IDFC,IDFC Nifty 50 Index Direct Plan Growth,Other,Very High Risk,4.0,2.98,18.57,13.48,Banking
IDFC,IDFC Hybrid Equity Fund Direct Growth,Hybrid,Very High Risk,3.0,1.95,17.93,10.21,Banking
IDFC,IDFC Flexi Cap Fund Direct Growth,Equity,Very High Risk,2.0,4.53,17.54,9.56,Banking
IDFC,IDFC Asset Allocation Aggressive Direct Plan Growth,Other,High Risk,2.0,1.51,13.83,8.09,Banking
IDFC,IDFC Balanced Advantage Fund Direct Growth,Hybrid,Very High Risk,3.0,1.26,12.96,9.66,Banking
IDFC,IDFC Asset Allocation Moderate Direct Growth,Other,High Risk,3.0,1.88,10.66,7.51,Banking
IDFC,IDFC Equity Savings Fund Direct Growth,Hybrid,Low to Moderate Risk,2.0,3.42,9.47,7.24,Banking
IDFC,IDFC Asset Allocation Conservative Direct Growth,Other,Moderately High Risk,3.0,2.63,7.72,6.78,Banking
IDFC,IDFC Regular Savings Fund Direct Plan Growth,Hybrid,Moderate Risk,2.0,1.09,7.04,6.14,Banking
IDFC,IDFC Banking & PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,5.0,2.89,6.51,7.37,Banking
IDFC,IDFC Government Securities Investment Plan Direct Growth,Debt,Moderate Risk,4.0,1.5,6.45,7.29,Banking
IDFC,IDFC Corporate Bond Fund Direct Growth,Debt,Low to Moderate Risk,2.0,2.04,6.42,6.65,Banking
IDFC,IDFC All Seasons Bond Fund Direct Growth,Other,Moderate Risk,3.0,2.61,6.26,6.78,Banking
IDFC,IDFC Dynamic Bond Fund Direct Growth,Debt,Moderate Risk,3.0,1.43,6.13,6.75,Banking
IDFC,IDFC Credit Risk Fund Direct Growth,Debt,Moderate Risk,3.0,3.34,6.1,6.54,Banking
IDFC,IDFC Bond Fund Short Term Plan Direct Growth,Debt,Low to Moderate Risk,2.0,2.69,6.08,6.77,Banking
IDFC,IDFC Bond Fund Medium Term Plan Direct Growth,Debt,Moderate Risk,3.0,1.48,5.6,6.41,Banking
IDFC,IDFC Government Securities Fund Constant Maturity Direct Growth,Debt,Moderate Risk,3.0,-0.13,5.53,8.15,Banking
IDFC,IDFC Low Duration Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.54,5.19,6.2,Banking
IDFC,IDFC Bond Fund Income Plan Direct Growth,Debt,Moderate Risk,2.0,0.86,5.18,6.05,Banking
IDFC,IDFC Money Manager Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.94,4.8,5.61,Banking
IDFC,IDFC Ultra Short Term Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.8,4.71,,Banking
IDFC,IDFC Arbitrage Fund Direct Growth,Hybrid,Low Risk,3.0,4.03,4.45,5.49,Banking
IDFC,IDFC Cash Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.98,3.99,5.23,Banking
IDFC,IDFC Overnight Fund Direct Growth,Debt,Low Risk,3.0,3.85,3.64,,Banking
IDFC,IDFC Midcap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
IDFC,IDFC Nifty200 Momentum 30 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
IDFC,IDFC Emerging Businesses Fund Direct Growth,Equity,Very High Risk,3.0,-0.1,,,Banking
IDFC,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Other,Moderate Risk,3.0,1.45,,,Banking
IDFC,IDFC CRISIL Gilt 2028 Index Fund Direct Growth,Other,Moderate Risk,3.0,1.45,,,Banking
IDFC,IDFC Floating Rate Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.54,,,Banking
IDFC,IDFC Multi Cap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
IDFC,IDFC US Equity FoF Direct Growth,Other,Very High Risk,3.0,-14.02,,,Banking
IDFC,IDFC CRISIL Gilt 2027 Index Fund Direct Growth,Other,Moderate Risk,3.0,1.46,,,Banking
IDFC,IDFC Nifty 100 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
HDFC,HDFC Small Cap Fund Direct Growth,Equity,Very High Risk,3.0,8.27,28.18,16.54,Banking
HDFC,HDFC Mid Cap Opportunities Direct Plan Growth,Equity,Very High Risk,3.0,12.36,27.0,14.18,Banking
HDFC,HDFC Retirement Savings Fund Equity Plan Direct Growth,Solution Oriented,Very High Risk,5.0,9.09,25.41,15.62,Banking
HDFC,HDFC Large and Mid Cap Fund Direct Growth,Equity,Very High Risk,3.0,10.86,23.69,13.83,Banking
HDFC,HDFC Focused 30 Fund Direct Plan Growth,Equity,Very High Risk,2.0,23.54,22.5,11.72,Banking
HDFC,HDFC Flexi Cap Direct Plan Growth,Equity,Very High Risk,3.0,18.17,21.44,14.06,Banking
HDFC,HDFC Capital Builder Value Fund Direct Plan Growth,Equity,Very High Risk,2.0,4.41,19.13,11.66,Banking
HDFC,HDFC Taxsaver Direct Plan Growth,Equity,Very High Risk,2.0,11.45,18.88,10.27,Banking
HDFC,HDFC Balanced Advantage Fund Direct Plan Growth,Hybrid,Very High Risk,2.0,17.16,18.75,12.36,Banking
HDFC,HDFC Retirement Savings Fund Hybrid Equity Plan Direct Growth,Solution Oriented,Very High Risk,4.0,4.75,18.44,12.82,Banking
HDFC,HDFC Index Fund Nifty 50 Plan Direct Growth,Other,Very High Risk,3.0,2.71,18.15,13.26,Banking
HDFC,HDFC Index S&P BSE Sensex Direct Plan Growth,Other,Very High Risk,4.0,2.61,17.86,14.26,Banking
HDFC,HDFC Hybrid Equity Fund Direct Plan Growth,Hybrid,Very High Risk,3.0,7.64,17.68,11.73,Banking
HDFC,HDFC Infrastructure Direct Plan Growth,Equity,Very High Risk,1.0,19.75,17.56,4.19,Banking
HDFC,HDFC Multi Asset Fund Direct Growth,Hybrid,Very High Risk,4.0,5.46,17.48,11.39,Banking
HDFC,HDFC Top 100 Fund Direct Plan Growth,Equity,Very High Risk,2.0,9.64,16.89,11.83,Banking
HDFC,HDFC Housing Opportunities Fund Direct Growth,Equity,Very High Risk,3.0,4.97,15.97,,Banking
HDFC,HDFC Dynamic PE Ratio FoF Direct Growth,Other,High Risk,3.0,7.53,15.84,10.58,Banking
HDFC,HDFC Equity Savings Direct Plan Growth,Hybrid,Moderately High Risk,3.0,6.08,11.86,9.03,Banking
HDFC,HDFC Hybrid Debt Fund Direct Growth,Hybrid,Moderately High Risk,3.0,5.84,10.61,7.71,Banking
HDFC,HDFC Fixed Maturity Plan 1141 Days August 2018 (1) Direct Growth,Debt,Moderately High Risk,3.0,9.19,9.52,,Banking
HDFC,HDFC Retirement Savings Fund Hybrid Debt Plan Direct Growth,Solution Oriented,Moderately High Risk,4.0,4.85,9.35,7.7,Banking
HDFC,HDFC Gold Direct Plan Growth,Other,High Risk,4.0,5.68,9.11,9.87,Banking
HDFC,HDFC Credit Risk Debt Fund Direct Growth,Debt,Moderately High Risk,4.0,4.19,8.14,7.55,Banking
HDFC,HDFC Dynamic Debt Fund Direct Plan Growth,Debt,Moderate Risk,5.0,1.83,7.23,5.28,Banking
HDFC,HDFC Medium Term Debt Fund Direct Plan Growth,Debt,Moderately High Risk,4.0,3.15,7.05,7.21,Banking
HDFC,HDFC Short Term Debt Fund Direct Plan Growth,Debt,Moderate Risk,4.0,3.27,6.85,7.21,Banking
HDFC,HDFC Corporate Bond Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.03,6.7,7.15,Banking
HDFC,HDFC Banking and PSU Debt Fund Direct Growth,Debt,Low to Moderate Risk,3.0,3.14,6.64,7.03,Banking
HDFC,HDFC Floating Rate Debt Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.8,6.36,6.88,Banking
HDFC,HDFC Low Duration Fund Direct Plan Growth,Debt,Moderate Risk,3.0,3.97,6.08,6.68,Banking
HDFC,HDFC Gilt Fund Direct Plan Growth,Debt,Moderate Risk,2.0,1.37,5.24,5.38,Banking
HDFC,HDFC Income Direct Plan Growth,Debt,Moderate Risk,2.0,1.79,5.22,5.0,Banking
HDFC,HDFC Money Market Fund Direct Plan Growth,Debt,Moderate Risk,4.0,4.11,5.22,6.3,Banking
HDFC,HDFC Ultra Short Term Fund Direct Growth,Debt,Moderate Risk,4.0,3.96,5.18,,Banking
HDFC,HDFC Arbitrage Fund Wholesale Direct Growth,Hybrid,Low Risk,2.0,3.87,4.33,5.14,Banking
HDFC,HDFC Liquid Direct Plan Growth,Debt,Low to Moderate Risk,2.0,3.97,4.04,5.27,Banking
HDFC,HDFC Overnight Fund Direct Plan Growth,Debt,Low Risk,2.0,3.81,3.62,4.59,Banking
HDFC,HDFC NIFTY Next 50 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
HDFC,HDFC Developed World Indexes FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
HDFC,HDFC Developed World Indexes FoF Direct Growth,Other,Very High Risk,3.0,,,,Banking
HDFC,HDFC NIFTY50 Equal Weight Index Fund Direct Growth,Other,Very High Risk,3.0,6.2,,,Banking
HDFC,HDFC Nifty 100 Index Fund Direct Growth,Other,Very High Risk,3.0,,,,Banking
HDFC,HDFC Multi Cap Fund Direct Growth,Equity,Very High Risk,3.0,,,,Banking
HDFC,HDFC Dividend Yield Fund Direct Growth,Equity,Very High Risk,3.0,11.16,,,Banking
